x,y,z 
0.0,0.0,0.0
0.25,0.1,0.04
0.5,0.19,0.08
0.75,0.28,0.11
0.99,0.37,0.15
1.24,0.46,0.19
1.48,0.55,0.22
1.72,0.64,0.26
1.96,0.73,0.3
2.2,0.82,0.33
2.44,0.9,0.36
2.67,0.99,0.4
2.91,1.07,0.43
3.14,1.16,0.46
3.37,1.24,0.5
3.61,1.32,0.53
3.83,1.4,0.56
4.06,1.48,0.59
4.29,1.56,0.62
4.52,1.64,0.65
4.74,1.72,0.68
4.96,1.79,0.71
5.19,1.87,0.74
5.41,1.94,0.77
5.63,2.02,0.8
5.85,2.09,0.82
6.06,2.16,0.85
6.28,2.23,0.88
6.49,2.3,0.9
6.71,2.37,0.93
6.92,2.44,0.95
7.13,2.51,0.98
7.34,2.58,1.0
7.55,2.64,1.03
7.76,2.71,1.05
7.97,2.77,1.07
8.17,2.84,1.09
8.38,2.9,1.12
8.58,2.96,1.14
8.78,3.02,1.16
8.98,3.09,1.18
9.18,3.15,1.2
9.38,3.2,1.22
9.58,3.26,1.24
9.78,3.32,1.26
9.97,3.38,1.28
10.17,3.43,1.3
10.36,3.49,1.32
10.56,3.55,1.33
10.75,3.6,1.35
10.94,3.65,1.37
11.13,3.71,1.39
11.32,3.76,1.4
11.51,3.81,1.42
11.7,3.86,1.43
11.88,3.91,1.45
12.07,3.96,1.47
12.25,4.01,1.48
12.44,4.06,1.49
12.62,4.11,1.51
12.8,4.16,1.52
12.99,4.2,1.54
13.17,4.25,1.55
13.35,4.3,1.56
13.53,4.34,1.58
13.71,4.39,1.59
13.88,4.43,1.6
14.06,4.48,1.61
14.24,4.52,1.63
14.41,4.56,1.64
14.59,4.61,1.65
14.77,4.65,1.66
14.94,4.69,1.67
15.11,4.73,1.68
15.29,4.77,1.69
15.46,4.81,1.7
15.63,4.86,1.71
15.8,4.9,1.72
15.98,4.94,1.73
16.15,4.97,1.74
16.32,5.01,1.75
16.49,5.05,1.76
16.66,5.09,1.77
16.83,5.13,1.78
17.0,5.17,1.79
17.16,5.21,1.8
17.33,5.24,1.81
17.5,5.28,1.81
17.67,5.32,1.82
17.84,5.36,1.83
18.0,5.39,1.84
18.17,5.43,1.85
18.34,5.47,1.86
18.51,5.5,1.86
18.67,5.54,1.87
18.84,5.58,1.88
19.01,5.61,1.89
19.17,5.65,1.9
19.34,5.69,1.9
19.5,5.72,1.91
19.67,5.76,1.92
19.92,5.81,1.94
20.17,5.86,1.96
20.43,5.91,1.98
20.68,5.96,2.0
20.93,6.01,2.02
21.18,6.06,2.04
21.43,6.11,2.06
21.68,6.16,2.08
21.93,6.21,2.1
22.17,6.25,2.12
22.42,6.3,2.14
22.67,6.34,2.16
22.92,6.38,2.18
23.17,6.43,2.2
23.41,6.47,2.21
23.66,6.51,2.23
23.9,6.55,2.25
24.15,6.59,2.27
24.4,6.63,2.29
24.64,6.67,2.31
24.88,6.71,2.32
25.13,6.74,2.34
25.37,6.78,2.36
25.62,6.81,2.38
25.86,6.85,2.39
26.1,6.88,2.41
26.34,6.91,2.43
26.58,6.94,2.45
26.82,6.97,2.46
27.07,7.0,2.48
27.31,7.03,2.5
27.54,7.06,2.51
27.78,7.09,2.53
28.02,7.11,2.54
28.26,7.14,2.56
28.5,7.16,2.58
28.74,7.18,2.59
28.97,7.21,2.61
29.21,7.23,2.62
29.45,7.25,2.64
29.68,7.27,2.65
29.92,7.29,2.67
30.15,7.3,2.68
30.39,7.32,2.7
30.62,7.34,2.71
30.85,7.35,2.72
31.08,7.37,2.74
31.32,7.38,2.75
31.55,7.39,2.77
31.78,7.4,2.78
32.01,7.41,2.79
32.24,7.42,2.81
32.47,7.43,2.82
32.7,7.44,2.83
32.93,7.44,2.84
33.16,7.45,2.86
33.39,7.45,2.87
33.61,7.46,2.88
33.84,7.46,2.89
34.07,7.46,2.91
34.29,7.46,2.92
34.52,7.46,2.93
34.74,7.46,2.94
34.97,7.45,2.95
35.19,7.45,2.96
35.41,7.44,2.97
35.64,7.44,2.98
35.86,7.43,2.99
36.08,7.42,3.01
36.3,7.41,3.02
36.52,7.4,3.03
36.74,7.39,3.04
36.96,7.38,3.04
37.18,7.37,3.05
37.4,7.35,3.06
37.62,7.34,3.07
37.83,7.32,3.08
38.05,7.3,3.09
38.27,7.28,3.1
38.48,7.26,3.11
38.7,7.24,3.12
38.91,7.22,3.12
39.13,7.2,3.13
39.34,7.17,3.14
39.55,7.15,3.15
39.77,7.12,3.15
39.98,7.09,3.16
40.19,7.07,3.17
40.4,7.04,3.17
40.61,7.0,3.18
40.82,6.97,3.19
41.03,6.94,3.19
41.24,6.91,3.2
41.45,6.87,3.21
41.65,6.83,3.21
41.86,6.8,3.22
42.07,6.76,3.22
42.27,6.72,3.23
42.48,6.68,3.23
42.68,6.63,3.24
42.89,6.59,3.24
43.09,6.55,3.25
43.29,6.5,3.25
43.5,6.45,3.25
43.7,6.41,3.26
43.9,6.36,3.26
44.1,6.31,3.26
44.3,6.25,3.27
44.5,6.2,3.27
44.7,6.15,3.27
44.9,6.09,3.28
45.09,6.04,3.28
45.29,5.98,3.28
45.49,5.92,3.28
45.68,5.86,3.28
45.88,5.8,3.28
46.07,5.74,3.29
46.27,5.68,3.29
46.46,5.61,3.29
46.65,5.55,3.29
46.85,5.48,3.29
47.04,5.41,3.29
47.23,5.34,3.29
47.42,5.27,3.29
47.61,5.2,3.29
47.8,5.13,3.29
47.99,5.06,3.29
48.18,4.98,3.29
48.36,4.9,3.29
48.55,4.83,3.29
48.74,4.75,3.29
48.92,4.67,3.28
49.11,4.59,3.28
49.29,4.51,3.28
49.48,4.42,3.28
49.66,4.34,3.28
49.84,4.25,3.27
50.03,4.17,3.27
50.21,4.08,3.27
50.39,3.99,3.26
50.57,3.9,3.26
50.75,3.81,3.26
50.93,3.71,3.25
51.11,3.62,3.25
51.29,3.53,3.24
51.46,3.43,3.24
51.64,3.33,3.24
51.82,3.23,3.23
51.99,3.13,3.23
52.17,3.03,3.22
52.34,2.93,3.22
52.52,2.83,3.21
52.69,2.72,3.2
52.86,2.61,3.2
53.03,2.51,3.19
53.21,2.4,3.19
53.38,2.29,3.18
53.55,2.18,3.17
53.72,2.07,3.17
53.89,1.95,3.16
54.05,1.84,3.15
54.22,1.72,3.14
54.39,1.61,3.14
54.56,1.49,3.13
54.72,1.37,3.12
54.89,1.25,3.11
